"Stimulus","Participant","Age","Sex","Sexual_Orientation","Religion","Religion_Spirituality","Religion_Activity","Education","Nationality","Ethnicity","Date","Time","Duration_Questionnaires","Duration_Task","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device","Device_OS","Block1_Trial","Questionnaire_RT","PhysicalAttractiveness","GeneralAttractiveness","Trustworthy","Familiar","Block2_Trial","Real","Realness_RT","SimulationMonitoring","Stimulus_Sex","Stimulus_SameSex","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","Social_Anxiety","Social_Phobia","AI_1_RealisticImages","AI_2_Unethical","AI_3_VideosReal","AI_4_DailyLife","AI_5_ImitatingReality","AI_6_Dangerous","AI_7_RealisticVideos","AI_8_Exciting","AI_9_Applications","AI_10_FaceErrors","FFNI_AcclaimSeeking","FFNI_Arrogance","FFNI_Authoritativeness","FFNI_Distrust","FFNI_Entitlement","FFNI_Exhibitionism","FFNI_Exploitativeness","FFNI_GrandioseFantasies","FFNI_Indifference","FFNI_LackOfEmpathy","FFNI_Manipulativeness","FFNI_NeedForAdmiration","FFNI_ReactiveAnger","FFNI_Shame","FFNI_ThrillSeeking","SelfAttractiveness1","SelfAttractiveness2","GPTS_Reference","GPTS_Persecution","IUS_ProspectiveAnxiety","IUS_InhibitoryAnxiety","Attention_Check1","Attention_Check2","Attention_Check3","Norms_Dominant","Norms_Trustworthy","Norms_Smart","Norms_Warm","Norms_Attractive"
"NF-1001.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",73,4246.59999996424,0.140072,0.130074,0.5,1e-04,7,0.10008,1544.09999996424,-0.8,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.27,3.84,3.75,4.02,3.27
"NF-1002.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",6,6294.30000001192,0.360028,0.390022,0.619976,0.579984,36,0.689962,1129.30000001192,0.38,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,2.75,4,4.43,3.55,4.05
"NF-1003.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",28,4538.39999997616,0.839932,0.559988,0.789942,1e-04,31,0.9999,1220.5,1,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.28,4.19,4.47,3.86,5.07
"NF-1004.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",51,5454.39999997616,0.759948,0.739952,0.759948,1e-04,28,0.739952,1886.80000001192,0.48,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,2.96,4.9,4.63,5.29,4.29
"NF-1005.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",65,3893.80000001192,0.619976,0.330034,0.64997,0.010098,55,0.729954,1274.70000004768,0.46,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,2.88,4.39,4.8,4.04,5.24
"NF-1006.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",19,8015.30000001192,0.190062,0.25005,0.509998,1e-04,23,0.889922,1722.30000001192,0.78,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.52,4.16,4.5,3.34,3.42
"NF-1008.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",42,3962.60000002384,0.320036,0.320036,0.380024,1e-04,60,0.120076,1277.5,-0.76,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,2.05,4.45,4.36,4.5,4.95
"NF-1009.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",40,4061.29999995232,0.759948,0.629974,0.669966,1e-04,97,0.390022,1303.19999998808,-0.22,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,2.94,4.62,4.92,4.96,4.9
"NF-1012.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",30,4683.69999998808,0.330034,0.20006,0.669966,1e-04,39,0.579984,1569.39999997616,0.16,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,2.98,4.22,4.36,4.24,4.31
"NF-1013.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",106,6764.69999998808,0.330034,0.310038,0.5,1e-04,9,1e-04,1592.5,-1,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.58,3.92,4.72,2.92,4.6
"NF-1014.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",82,4338.10000002384,0.639972,0.30004,0.589982,0.040092,102,0.629974,1497.30000001192,0.26,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,2.83,4.4,4.54,4.71,4.16
"NF-1015.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",54,4888,0.40002,0.390022,0.5,1e-04,47,0.69996,1908.90000003576,0.4,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.57,4.48,4.89,4.26,4.63
"NF-1016.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",1,6788.10000002384,0.669966,0.5,0.69996,0.30004,74,0.160068,1174.10000002384,-0.68,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.43,4,4.52,4.3,5.2
"NF-1017.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",101,4495.80000001192,0.609978,0.569986,0.460008,1e-04,106,0.809938,1090.20000004768,0.62,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.8,4.13,4.15,3.3,5.04
"NF-1018.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",70,3874.19999998808,0.659968,0.619976,0.45001,0.030094,45,0.929914,3781.5,0.86,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.22,4.88,5.06,5.06,5.47
"NF-1020.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",103,4374.79999995232,0.609978,0.280044,0.619976,1e-04,37,0.839932,1262.60000002384,0.68,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.38,3.71,4.25,3.02,4.3
"NF-1021.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",74,3586.80000001192,0.5,0.5,0.5,1e-04,107,0.030094,2341.80000001192,-0.94,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.86,3.92,4.76,3.53,4.8
"NF-1022.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",56,5924,0.170066,0.380024,0.5,1e-04,22,0.819936,1180.80000001192,0.64,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.02,4.04,4.18,3.84,4.37
"NF-1023.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",88,4140.60000002384,0.609978,0.64997,0.739952,1e-04,41,0.25005,1306.90000003576,-0.5,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.82,4.78,5.08,4.47,4.94
"NF-1024.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",36,5021.69999998808,0.430014,0.330034,0.5,1e-04,83,0.090082,1107.70000004768,-0.82,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.33,3.77,4.35,3.42,4.21
"NF-1025.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",18,4933.39999997616,0.669966,0.370026,0.40002,1e-04,51,0.40002,1290.19999998808,-0.2,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.63,4,4.76,3.67,4.37
"NF-1026.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",10,7402.5,0.35003,0.320036,0.5,1e-04,16,0.10008,1615.19999998808,-0.8,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.71,3.33,4.05,2.75,3.71
"NF-1028.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",67,2942.5,0.5,0.5,0.5,1e-04,4,0.679964,1498.69999998808,0.36,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.02,4.06,4.38,3.4,4.54
"NF-1030.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",8,6965.89999997616,0.84993,0.679964,0.739952,1e-04,67,0.230054,1257.5,-0.54,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.28,4.82,5.18,4.72,5.04
"NF-1031.jpg","5d7f8ffae664ab001967d9d3_7mrcg",26,"Male","Homosexual","No Religion",0,0,"High School","Estonia","Caucasian","01/09/2022","12:40:11",4.83090166666607,11.4835616666714,"1920x1080",2.0736,60.02,"chrome","104.0.0","Desktop","Windows 10",66,4320.19999998808,0.310038,0.25005,0.519996,1e-04,75,0.709958,1206.39999997616,0.42,"Female","Opposite",0.2125,0.4625,0.4925,1,0.535,0.9475,0.551666666666667,0.568333333333333,0.79,0.38,0,1,0.32,0.61,0.63,0.78,1,0.31,0.625,0.46,0.52,0.375,0.565,0.4,0.325,0.61,0.485,0.155,0.475,0.66,0.46,0.625,0.27,0.74,0.67,0.0875,0.288,0.582857142857143,0.626,1,1,1,3.68,4.19,4.36,3.74,4.36
